Machine,Start Time,End Time,Duration (s)
Printer_9,2024-10-23T13:52:54.277505,2024-10-23T13:53:02.313450,8.035945
Printer_9,2024-10-23T13:54:06.876961,2024-10-23T13:54:22.954393,16.077432
Printer_9,2024-10-23T13:55:57.450917,2024-10-23T13:56:06.542366,9.091449
Printer_7,2024-10-23T13:55:54.647841,2024-10-23T13:56:10.785428,16.137587
Printer_8,2024-10-23T13:55:55.917014,2024-10-23T13:56:11.994617,16.077603
Printer_9,2024-10-23T14:16:03.943863,2024-10-23T14:16:12.987238,9.043375
Printer_10,2024-10-23T14:16:05.880395,2024-10-23T14:16:18.989597,13.109202
Printer_8,2024-10-23T14:20:48.025844,2024-10-23T14:20:57.073187,9.047343
Printer_9,2024-10-23T14:20:49.223462,2024-10-23T14:21:05.302470,16.079008
Printer_10,2024-10-23T14:20:50.280186,2024-10-23T14:21:09.655653,19.375467
Printer_7,2024-10-23T14:22:20.908672,2024-10-23T14:22:29.951931,9.043259
Printer_6,2024-10-23T14:22:19.743634,2024-10-23T14:22:35.841320,16.097686
Printer_8,2024-10-23T14:23:17.907189,2024-10-23T14:23:26.960125,9.052936
Printer_7,2024-10-23T14:23:16.550604,2024-10-23T14:23:31.626843,15.076239
Printer_9,2024-10-23T14:24:47.518774,2024-10-23T14:25:04.683885,17.165111
Printer_10,2024-10-23T14:24:48.495031,2024-10-23T14:25:09.629769,21.134738
Printer_5,2024-10-23T16:39:15.692885,2024-10-23T16:39:21.726607,6.033722
Printer_1,2024-10-23T16:39:14.409945,2024-10-23T16:39:32.509941,18.099996
Printer_1,2024-10-25T15:57:53.875471,2024-10-25T15:57:59.899595,6.024124
Printer_1,2024-10-25T16:57:48.171165,2024-10-25T16:58:00.187132,12.015967
Printer_1,2024-10-25T17:08:05.596248,2024-10-25T17:42:18.389534,2052.793286
Printer_1,2024-10-28T12:58:13.622602,2024-10-28T13:33:15.474158,2101.851556
Printer_2,2024-10-28T13:03:47.962265,2024-10-28T13:36:02.731142,1934.768877
Printer_3,2024-10-28T13:06:09.854872,2024-10-28T13:38:43.936634,1954.081762
Printer_5,2024-10-28T13:10:49.748708,2024-10-28T13:39:39.057605,1729.308897
Printer_4,2024-10-28T13:08:13.408974,2024-10-28T13:41:14.062164,1980.65319
Printer_6,2024-10-28T13:13:31.419434,2024-10-28T13:46:23.007496,1971.588062
Printer_9,2024-10-28T13:21:05.575022,2024-10-28T13:50:51.835232,1786.26021
Printer_8,2024-10-28T13:19:15.674572,2024-10-28T13:51:01.883639,1906.209067
Printer_7,2024-10-28T13:17:02.146428,2024-10-28T13:51:32.908720,2070.762292
Printer_10,2024-10-28T13:23:04.872935,2024-10-28T13:52:22.078292,1757.205357
Printer_1,2024-10-28T13:45:35.079757,2024-10-28T14:16:10.826471,1835.746714
Printer_2,2024-10-28T13:47:06.932559,2024-10-28T14:17:34.359650,1827.427091
Printer_3,2024-10-28T13:49:42.598119,2024-10-28T14:18:16.935528,1714.337409
Printer_4,2024-10-28T13:52:34.706510,2024-10-28T14:22:26.308025,1791.601515
Printer_5,2024-10-28T13:55:02.515002,2024-10-28T14:29:59.764889,2097.249887
Printer_6,2024-10-28T13:58:55.484670,2024-10-28T14:31:39.220416,1963.735746
Printer_7,2024-10-28T14:03:58.186131,2024-10-28T14:32:27.280742,1709.094611
Printer_8,2024-10-28T14:07:12.489252,2024-10-28T14:39:50.559548,1958.070296
Printer_9,2024-10-28T14:11:37.035679,2024-10-28T14:43:12.342202,1895.306523
Printer_10,2024-10-28T14:15:58.795177,2024-10-28T14:46:47.644300,1848.849123
Printer_1,2024-10-28T14:37:22.372456,2024-10-28T15:07:41.935638,1819.563182
Printer_2,2024-10-28T14:40:03.993427,2024-10-28T15:12:12.265942,1928.272515
Printer_3,2024-10-28T14:42:30.259163,2024-10-28T15:13:27.974194,1857.715031
Printer_4,2024-10-28T14:43:53.175969,2024-10-28T15:14:51.495114,1858.319145
Printer_5,2024-10-28T14:46:15.448119,2024-10-28T15:20:09.805100,2034.356981
Printer_6,2024-10-28T14:48:09.430671,2024-10-28T15:22:18.930105,2049.499434
Printer_8,2024-10-28T14:52:31.046411,2024-10-28T15:23:03.054106,1832.007695
Printer_7,2024-10-28T14:52:09.423274,2024-10-28T15:23:08.070119,1858.646845
Printer_10,2024-10-28T14:56:55.063237,2024-10-28T15:26:41.273270,1786.210033
