row,table_column,original,corrupted,error_type,timestamp
11,location_data._value,ORBOX00116, ORBOX00116 ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.292005
25,location_data._value,ORBOX00122,   ORBOX00122   ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.292039
32,location_data._value,3DOR10002, 3DOR10002 ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.292061
35,location_data._value,3DOR10006,   3DOR10006   ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.292082
36,location_data._value,3DOR10007,3DOR10007 ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.292103
38,location_data._value,3DOR10009,  3DOR10009  ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.292123
39,location_data._value,3DOR100010, 3DOR100010,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.292143
99,location_data._value,3DOR100071,   3DOR100071   ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.292163
101,location_data._value,3DOR100073, 3DOR100073,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.292183
104,location_data._value,3DOR100076,3DOR100076 ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.292203
107,location_data._value,3DOR100079, 3DOR100079,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.292223
108,location_data._value,3DOR100080,  3DOR100080  ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.292243
134,location_data._value,3DOR10002, 3DOR10002 ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.292263
136,location_data._value,3DOR100010, 3DOR100010,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.292282
137,location_data._value,3DOR10009,  3DOR10009  ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.292302
140,location_data._value,3DOR10007,3DOR10007 ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.292322
141,location_data._value,3DOR10006,   3DOR10006   ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.292342
182,location_data._value,Printer_1,Printer_1 ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.292362
205,location_data._value,3DOR100076,3DOR100076 ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.292382
206,location_data._value,3DOR100080,  3DOR100080  ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.292401
208,location_data._value,3DOR100079, 3DOR100079,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.292421
211,location_data._value,3DOR100073, 3DOR100073,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.292440
212,location_data._value,3DOR100071,   3DOR100071   ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.292460
94,relationship_data.child,3DOR100010, 3DOR100010,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.292755
95,relationship_data.child,3DOR100010, 3DOR100010,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.292780
96,relationship_data.child,3DOR100010, 3DOR100010,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.292803
97,relationship_data.child,3DOR100010, 3DOR100010,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.292823
142,relationship_data.child,3DOR10002, 3DOR10002 ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.292843
143,relationship_data.child,3DOR10002, 3DOR10002 ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.292863
144,relationship_data.child,3DOR10002, 3DOR10002 ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.292883
145,relationship_data.child,3DOR10002, 3DOR10002 ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.292902
312,relationship_data.child,3DOR10006,   3DOR10006   ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.292922
313,relationship_data.child,3DOR10006,   3DOR10006   ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.292942
314,relationship_data.child,3DOR10006,   3DOR10006   ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.292963
315,relationship_data.child,3DOR10006,   3DOR10006   ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.292982
356,relationship_data.child,3DOR10007,3DOR10007 ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.293002
357,relationship_data.child,3DOR10007,3DOR10007 ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.293023
358,relationship_data.child,3DOR10007,3DOR10007 ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.293043
359,relationship_data.child,3DOR10007,3DOR10007 ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.293063
364,relationship_data.child,3DOR100071,   3DOR100071   ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.293082
365,relationship_data.child,3DOR100071,   3DOR100071   ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.293102
366,relationship_data.child,3DOR100071,   3DOR100071   ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.293121
367,relationship_data.child,3DOR100071,   3DOR100071   ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.293141
372,relationship_data.child,3DOR100073, 3DOR100073,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.293160
373,relationship_data.child,3DOR100073, 3DOR100073,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.293180
374,relationship_data.child,3DOR100073, 3DOR100073,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.293199
375,relationship_data.child,3DOR100073, 3DOR100073,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.293219
384,relationship_data.child,3DOR100076,3DOR100076 ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.293238
385,relationship_data.child,3DOR100076,3DOR100076 ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.293258
386,relationship_data.child,3DOR100076,3DOR100076 ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.293278
387,relationship_data.child,3DOR100076,3DOR100076 ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.293297
396,relationship_data.child,3DOR100079, 3DOR100079,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.293317
397,relationship_data.child,3DOR100079, 3DOR100079,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.293337
398,relationship_data.child,3DOR100079, 3DOR100079,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.293357
399,relationship_data.child,3DOR100079, 3DOR100079,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.293376
404,relationship_data.child,3DOR100080,  3DOR100080  ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.293397
405,relationship_data.child,3DOR100080,  3DOR100080  ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.293417
406,relationship_data.child,3DOR100080,  3DOR100080  ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.293437
407,relationship_data.child,3DOR100080,  3DOR100080  ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.293456
450,relationship_data.child,3DOR10009,  3DOR10009  ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.293476
451,relationship_data.child,3DOR10009,  3DOR10009  ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.293496
452,relationship_data.child,3DOR10009,  3DOR10009  ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.293515
453,relationship_data.child,3DOR10009,  3DOR10009  ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.293535
502,relationship_data.child,Printer_1,Printer_1 ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.293554
503,relationship_data.child,Printer_1,Printer_1 ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.293574
504,relationship_data.child,Printer_1,Printer_1 ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.293594
505,relationship_data.child,Printer_1,Printer_1 ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.293613
506,relationship_data.child,Printer_1,Printer_1 ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.293633
507,relationship_data.child,Printer_1,Printer_1 ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.293652
508,relationship_data.child,Printer_1,Printer_1 ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.293671
509,relationship_data.child,Printer_1,Printer_1 ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.293691
510,relationship_data.child,Printer_1,Printer_1 ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.293710
