row,column,original,corrupted,error_type,timestamp
219,_value,3DOR100088,3DOR100088 ,Q1_SPACE,2025-06-06T18:42:34.491269
194,_value,3DOR100061,  3DOR100061  ,Q1_SPACE,2025-06-06T18:42:34.491307
30,_value,t16,t16   ,Q1_SPACE,2025-06-06T18:42:34.491333
124,_value,3DOR100096,  3DOR100096  ,Q1_SPACE,2025-06-06T18:42:34.491357
196,_value,3DOR100068,3DOR100068 ,Q1_SPACE,2025-06-06T18:42:34.491382
122,_value,3DOR100094, 3DOR100094 ,Q1_SPACE,2025-06-06T18:42:34.491405
5,_value,ABSM0007,   ABSM0007,Q1_SPACE,2025-06-06T18:42:34.491427
47,_value,3DOR100018,3DOR100018 ,Q1_SPACE,2025-06-06T18:42:34.491448
85,_value,3DOR100057, 3DOR100057 ,Q1_SPACE,2025-06-06T18:42:34.491470
117,_value,3DOR100089,3DOR100089  ,Q1_SPACE,2025-06-06T18:42:34.491492
128,_value,3DOR1000100, 3DOR1000100,Q1_SPACE,2025-06-06T18:42:34.491513
231,_value,3DOR100094,3DOR100094   ,Q1_SPACE,2025-06-06T18:42:34.491535
208,_value,3DOR100079,3DOR100079   ,Q1_SPACE,2025-06-06T18:42:34.491556
115,_value,3DOR100087, 3DOR100087,Q1_SPACE,2025-06-06T18:42:34.491578
183,_value,3DOR100056,   3DOR100056   ,Q1_SPACE,2025-06-06T18:42:34.491599
169,_value,3DOR100039,  3DOR100039,Q1_SPACE,2025-06-06T18:42:34.491620
159,_value,3DOR100024,   3DOR100024,Q1_SPACE,2025-06-06T18:42:34.491642
60,_value,3DOR100032,  3DOR100032  ,Q1_SPACE,2025-06-06T18:42:34.491663
59,_value,3DOR100030, 3DOR100030,Q1_SPACE,2025-06-06T18:42:34.491684
130,_value,t16,   t16,Q1_SPACE,2025-06-06T18:42:34.491705
191,_value,3DOR100055,3DOR100055 ,Q1_SPACE,2025-06-06T18:42:34.491731
46,_value,3DOR100017,  3DOR100017,Q1_SPACE,2025-06-06T18:42:34.491753
37,_value,3DOR10008,   3DOR10008   ,Q1_SPACE,2025-06-06T18:42:34.491781
198,_value,3DOR100064,   3DOR100064   ,Q1_SPACE,2025-06-06T18:42:34.491802
190,_value,3DOR100053,3DOR100053   ,Q1_SPACE,2025-06-06T18:42:34.491825
160,_value,3DOR100023,  3DOR100023,Q1_SPACE,2025-06-06T18:42:34.491847
127,_value,3DOR100099,3DOR100099 ,Q1_SPACE,2025-06-06T18:42:34.491869
147,_value,3DOR100016,   3DOR100016,Q1_SPACE,2025-06-06T18:42:34.491890
83,_value,3DOR100055,  3DOR100055  ,Q1_SPACE,2025-06-06T18:42:34.491911
25,_value,ORBOX00122,ORBOX00122  ,Q1_SPACE,2025-06-06T18:42:34.491932
149,_value,3DOR100018, 3DOR100018,Q1_SPACE,2025-06-06T18:42:34.491953
67,_value,3DOR100039,3DOR100039  ,Q1_SPACE,2025-06-06T18:42:34.491977
