row,column,original,corrupted,error_type,timestamp
118,_value,3DOR100090,3DOR100090   ,Q1_SPACE,2025-06-07T11:08:31.485877
90,_value,3DOR100062,3DOR100062   ,Q1_SPACE,2025-06-07T11:08:31.485915
191,_value,3DOR100055,   3DOR100055,Q1_SPACE,2025-06-07T11:08:31.485941
115,_value,3DOR100087,3DOR100087   ,Q1_SPACE,2025-06-07T11:08:31.485965
125,_value,3DOR100097,  3DOR100097,Q1_SPACE,2025-06-07T11:08:31.485987
8,_value,ABSM0010,ABSM0010 ,Q1_SPACE,2025-06-07T11:08:31.486010
224,_value,3DOR100092, 3DOR100092,Q1_SPACE,2025-06-07T11:08:31.486032
7,_value,ABSM0009,  ABSM0009  ,Q1_SPACE,2025-06-07T11:08:31.486055
203,_value,3DOR100072,  3DOR100072  ,Q1_SPACE,2025-06-07T11:08:31.486077
178,_value,3DOR100046,3DOR100046 ,Q1_SPACE,2025-06-07T11:08:31.486099
199,_value,3DOR100063, 3DOR100063 ,Q1_SPACE,2025-06-07T11:08:31.486120
59,_value,3DOR100030,  3DOR100030  ,Q1_SPACE,2025-06-07T11:08:31.486143
41,_value,3DOR100012,3DOR100012 ,Q1_SPACE,2025-06-07T11:08:31.486165
225,_value,3DOR1000100,3DOR1000100  ,Q1_SPACE,2025-06-07T11:08:31.486187
141,_value,3DOR10006, 3DOR10006 ,Q1_SPACE,2025-06-07T11:08:31.486209
44,_value,3DOR100015, 3DOR100015 ,Q1_SPACE,2025-06-07T11:08:31.486231
217,_value,3DOR100085, 3DOR100085,Q1_SPACE,2025-06-07T11:08:31.486252
232,_value,3DOR100097,   3DOR100097,Q1_SPACE,2025-06-07T11:08:31.486273
94,_value,3DOR100066,3DOR100066 ,Q1_SPACE,2025-06-07T11:08:31.486295
179,_value,3DOR100044,  3DOR100044,Q1_SPACE,2025-06-07T11:08:31.486316
159,_value,3DOR100024,   3DOR100024   ,Q1_SPACE,2025-06-07T11:08:31.486338
218,_value,3DOR100089,  3DOR100089,Q1_SPACE,2025-06-07T11:08:31.486359
55,_value,3DOR100027, 3DOR100027 ,Q1_SPACE,2025-06-07T11:08:31.486441
209,_value,3DOR100077, 3DOR100077 ,Q1_SPACE,2025-06-07T11:08:31.486473
33,_value,3DOR10003,  3DOR10003  ,Q1_SPACE,2025-06-07T11:08:31.486498
233,_value,3DOR100091,3DOR100091   ,Q1_SPACE,2025-06-07T11:08:31.486521
97,_value,3DOR100069, 3DOR100069 ,Q1_SPACE,2025-06-07T11:08:31.486543
105,_value,3DOR100077,3DOR100077   ,Q1_SPACE,2025-06-07T11:08:31.486568
227,_value,3DOR100093,  3DOR100093,Q1_SPACE,2025-06-07T11:08:31.486591
205,_value,3DOR100076,3DOR100076   ,Q1_SPACE,2025-06-07T11:08:31.486613
42,_value,3DOR100013, 3DOR100013 ,Q1_SPACE,2025-06-07T11:08:31.486635
166,_value,3DOR100033,   3DOR100033   ,Q1_SPACE,2025-06-07T11:08:31.486657
91,_value,3DOR100063,  3DOR100063  ,Q1_SPACE,2025-06-07T11:08:31.486679
76,_value,3DOR100048,   3DOR100048,Q1_SPACE,2025-06-07T11:08:31.486700
23,_value,ORBOX00121,ORBOX00121  ,Q1_SPACE,2025-06-07T11:08:31.486721
34,_value,2199003780,2199003780   ,Q1_SPACE,2025-06-07T11:08:31.486870
330,_value,2546161408,  2546161408,Q1_SPACE,2025-06-07T11:08:31.486894
470,_value,2127618315,  2127618315  ,Q1_SPACE,2025-06-07T11:08:31.486916
395,_value,1677565722,  1677565722  ,Q1_SPACE,2025-06-07T11:08:31.486938
361,_value,2546161408,2546161408   ,Q1_SPACE,2025-06-07T11:08:31.486959
436,_value,2546161408,  2546161408  ,Q1_SPACE,2025-06-07T11:08:31.486980
176,_value,2199003780,   2199003780   ,Q1_SPACE,2025-06-07T11:08:31.487001
217,_value,2546161408,2546161408  ,Q1_SPACE,2025-06-07T11:08:31.487023
463,_value,9511484705,9511484705  ,Q1_SPACE,2025-06-07T11:08:31.487044
460,_value,9043800431,9043800431  ,Q1_SPACE,2025-06-07T11:08:31.487064
160,_value,2199003780, 2199003780 ,Q1_SPACE,2025-06-07T11:08:31.487086
431,_value,1677565722,1677565722   ,Q1_SPACE,2025-06-07T11:08:31.487107
418,_value,1677565722,  1677565722,Q1_SPACE,2025-06-07T11:08:31.487128
43,_value,2199003780, 2199003780,Q1_SPACE,2025-06-07T11:08:31.487149
197,_value,2199003780,  2199003780  ,Q1_SPACE,2025-06-07T11:08:31.487173
213,_value,2199003780,2199003780   ,Q1_SPACE,2025-06-07T11:08:31.487194
483,_value,3389843178,   3389843178   ,Q1_SPACE,2025-06-07T11:08:31.487216
195,_value,2199003780, 2199003780 ,Q1_SPACE,2025-06-07T11:08:31.487237
255,_value,2546161408,2546161408   ,Q1_SPACE,2025-06-07T11:08:31.487259
256,_value,2546161408, 2546161408,Q1_SPACE,2025-06-07T11:08:31.487280
211,_value,2199003780, 2199003780,Q1_SPACE,2025-06-07T11:08:31.487302
208,_value,2199003780,2199003780   ,Q1_SPACE,2025-06-07T11:08:31.487323
200,_value,2199003780,2199003780   ,Q1_SPACE,2025-06-07T11:08:31.487344
456,_value,2546161408,2546161408 ,Q1_SPACE,2025-06-07T11:08:31.487365
101,_value,2199003780,  2199003780  ,Q1_SPACE,2025-06-07T11:08:31.487386
52,_value,2199003780,2199003780 ,Q1_SPACE,2025-06-07T11:08:31.487408
70,_value,2199003780,2199003780  ,Q1_SPACE,2025-06-07T11:08:31.487429
294,_value,1677565722, 1677565722 ,Q1_SPACE,2025-06-07T11:08:31.487450
304,_value,1677565722, 1677565722,Q1_SPACE,2025-06-07T11:08:31.487471
417,_value,1677565722, 1677565722,Q1_SPACE,2025-06-07T11:08:31.487492
