row,removed_record,error_type,affected_relationships,impact_assessment,timestamp
135,"{""_start"": ""2024-10-07T13:58:14.815293004Z"", ""_stop"": ""2024-11-06T13:58:14.815293004Z"", ""_time"": ""2024-10-28T15:00:29.681Z"", ""_value"": ""ORBOX0013"", ""_field"": ""parent"", ""_measurement"": ""Tracking_comp"", ""child"": ""3DOR100018"", ""parent"": ""ORBOX0013""}",Q3_GEAR_ORDER_DELETION,gear_to_order: 3DOR100018 → ORBOX0013,HIGH,2025-06-08T20:10:44.160953
215,"{""_start"": ""2024-10-07T13:58:14.815293004Z"", ""_stop"": ""2024-11-06T13:58:14.815293004Z"", ""_time"": ""2024-10-28T16:38:30.137Z"", ""_value"": ""ORBOX00115"", ""_field"": ""parent"", ""_measurement"": ""Tracking_comp"", ""child"": ""3DOR100037"", ""parent"": ""ORBOX00115""}",Q3_GEAR_ORDER_DELETION,gear_to_order: 3DOR100037 → ORBOX00115,HIGH,2025-06-08T20:10:44.160993
261,"{""_start"": ""2024-10-07T13:58:14.815293004Z"", ""_stop"": ""2024-11-06T13:58:14.815293004Z"", ""_time"": ""2024-10-28T17:23:13.676Z"", ""_value"": ""ORBOX00119"", ""_field"": ""parent"", ""_measurement"": ""Tracking_comp"", ""child"": ""3DOR100048"", ""parent"": ""ORBOX00119""}",Q3_GEAR_ORDER_DELETION,gear_to_order: 3DOR100048 → ORBOX00119,HIGH,2025-06-08T20:10:44.161022
230,"{""_start"": ""2024-10-07T13:58:14.815293004Z"", ""_stop"": ""2024-11-06T13:58:14.815293004Z"", ""_time"": ""2024-10-28T16:37:55.57Z"", ""_value"": ""3DOR100040"", ""_field"": ""child"", ""_measurement"": ""Tracking_comp"", ""child"": ""3DOR100040"", ""parent"": ""ORBOX0015""}",Q3_GEAR_ORDER_DELETION,gear_to_order: 3DOR100040 → ORBOX0015,HIGH,2025-06-08T20:10:44.161050
348,"{""_start"": ""2024-10-07T13:58:14.815293004Z"", ""_stop"": ""2024-11-06T13:58:14.815293004Z"", ""_time"": ""2024-10-28T19:24:48.96Z"", ""_value"": ""3DOR100068"", ""_field"": ""child"", ""_measurement"": ""Tracking_comp"", ""child"": ""3DOR100068"", ""parent"": ""ORBOX00121""}",Q3_GEAR_ORDER_DELETION,gear_to_order: 3DOR100068 → ORBOX00121,HIGH,2025-06-08T20:10:44.161077
475,"{""_start"": ""2024-10-07T13:58:14.815293004Z"", ""_stop"": ""2024-11-06T13:58:14.815293004Z"", ""_time"": ""2024-10-28T21:30:21.567Z"", ""_value"": ""ORBOX0019"", ""_field"": ""parent"", ""_measurement"": ""Tracking_comp"", ""child"": ""3DOR100095"", ""parent"": ""ORBOX0019""}",Q3_GEAR_ORDER_DELETION,gear_to_order: 3DOR100095 → ORBOX0019,HIGH,2025-06-08T20:10:44.161103
198,"{""_start"": ""2024-10-07T13:58:14.815293004Z"", ""_stop"": ""2024-11-06T13:58:14.815293004Z"", ""_time"": ""2024-10-28T16:38:30.878Z"", ""_value"": ""3DOR100033"", ""_field"": ""child"", ""_measurement"": ""Tracking_comp"", ""child"": ""3DOR100033"", ""parent"": ""ORBOX00115""}",Q3_GEAR_ORDER_DELETION,gear_to_order: 3DOR100033 → ORBOX00115,HIGH,2025-06-08T20:10:44.161128
301,"{""_start"": ""2024-10-07T13:58:14.815293004Z"", ""_stop"": ""2024-11-06T13:58:14.815293004Z"", ""_time"": ""2024-10-28T18:08:14.953Z"", ""_value"": ""ORBOX00117"", ""_field"": ""parent"", ""_measurement"": ""Tracking_comp"", ""child"": ""3DOR100057"", ""parent"": ""ORBOX00117""}",Q3_GEAR_ORDER_DELETION,gear_to_order: 3DOR100057 → ORBOX00117,HIGH,2025-06-08T20:10:44.161153
116,"{""_start"": ""2024-10-07T13:58:14.815293004Z"", ""_stop"": ""2024-11-06T13:58:14.815293004Z"", ""_time"": ""2024-10-28T15:01:12.239Z"", ""_value"": ""3DOR100013"", ""_field"": ""child"", ""_measurement"": ""Tracking_comp"", ""child"": ""3DOR100013"", ""parent"": ""ORBOX0011""}",Q3_GEAR_ORDER_DELETION,gear_to_order: 3DOR100013 → ORBOX0011,HIGH,2025-06-08T20:10:44.161179
304,"{""_start"": ""2024-10-07T13:58:14.815293004Z"", ""_stop"": ""2024-11-06T13:58:14.815293004Z"", ""_time"": ""2024-10-28T18:08:15.589Z"", ""_value"": ""3DOR100058"", ""_field"": ""child"", ""_measurement"": ""Tracking_comp"", ""child"": ""3DOR100058"", ""parent"": ""ORBOX00117""}",Q3_GEAR_ORDER_DELETION,gear_to_order: 3DOR100058 → ORBOX00117,HIGH,2025-06-08T20:10:44.161204
252,"{""_start"": ""2024-10-07T13:58:14.815293004Z"", ""_stop"": ""2024-11-06T13:58:14.815293004Z"", ""_time"": ""2024-10-28T17:23:12.306Z"", ""_value"": ""3DOR100046"", ""_field"": ""child"", ""_measurement"": ""Tracking_comp"", ""child"": ""3DOR100046"", ""parent"": ""ORBOX00119""}",Q3_GEAR_ORDER_DELETION,gear_to_order: 3DOR100046 → ORBOX00119,HIGH,2025-06-08T20:10:44.161229
98,"{""_start"": ""2024-10-07T13:58:14.815293004Z"", ""_stop"": ""2024-11-06T13:58:14.815293004Z"", ""_time"": ""2024-10-28T21:30:22.248Z"", ""_value"": ""3DOR1000100"", ""_field"": ""child"", ""_measurement"": ""Tracking_comp"", ""child"": ""3DOR1000100"", ""parent"": ""ORBOX0019""}",Q3_GEAR_ORDER_DELETION,gear_to_order: 3DOR1000100 → ORBOX0019,HIGH,2025-06-08T20:10:44.161254
