row,removed_record,error_type,affected_relationships,impact_assessment,timestamp
491,"{""_start"": ""2024-10-07T13:58:14.815293004Z"", ""_stop"": ""2024-11-06T13:58:14.815293004Z"", ""_time"": ""2024-10-28T21:30:34.711Z"", ""_value"": ""ORBOX0018"", ""_field"": ""parent"", ""_measurement"": ""Tracking_comp"", ""child"": ""3DOR100099"", ""parent"": ""ORBOX0018""}",Q3_MISSING_RECORD,gear_to_order,MEDIUM,2025-06-06T18:42:34.567968
357,"{""_start"": ""2024-10-07T13:58:14.815293004Z"", ""_stop"": ""2024-11-06T13:58:14.815293004Z"", ""_time"": ""2024-10-28T14:17:25.178Z"", ""_value"": ""ORBOX00116"", ""_field"": ""parent"", ""_measurement"": ""Tracking_comp"", ""child"": ""3DOR10007"", ""parent"": ""ORBOX00116""}",Q3_MISSING_RECORD,gear_to_order,MEDIUM,2025-06-06T18:42:34.568009
467,"{""_start"": ""2024-10-07T13:58:14.815293004Z"", ""_stop"": ""2024-11-06T13:58:14.815293004Z"", ""_time"": ""2024-10-28T21:30:21.013Z"", ""_value"": ""ORBOX0019"", ""_field"": ""parent"", ""_measurement"": ""Tracking_comp"", ""child"": ""3DOR100093"", ""parent"": ""ORBOX0019""}",Q3_MISSING_RECORD,gear_to_order,MEDIUM,2025-06-06T18:42:34.568038
430,"{""_start"": ""2024-10-07T13:58:14.815293004Z"", ""_stop"": ""2024-11-06T13:58:14.815293004Z"", ""_time"": ""2024-10-28T20:47:56.488Z"", ""_value"": ""ORBOX00111"", ""_field"": ""parent"", ""_measurement"": ""Tracking_comp"", ""child"": ""3DOR100086"", ""parent"": ""ORBOX00111""}",Q3_MISSING_RECORD,gear_to_order,MEDIUM,2025-06-06T18:42:34.568064
121,"{""_start"": ""2024-10-07T13:58:14.815293004Z"", ""_stop"": ""2024-11-06T13:58:14.815293004Z"", ""_time"": ""2024-10-28T15:00:32.095Z"", ""_value"": ""ORBOX0013"", ""_field"": ""parent"", ""_measurement"": ""Tracking_comp"", ""child"": ""3DOR100014"", ""parent"": ""ORBOX0013""}",Q3_MISSING_RECORD,gear_to_order,MEDIUM,2025-06-06T18:42:34.568090
293,"{""_start"": ""2024-10-07T13:58:14.815293004Z"", ""_stop"": ""2024-11-06T13:58:14.815293004Z"", ""_time"": ""2024-10-28T18:08:03.73Z"", ""_value"": ""ORBOX00118"", ""_field"": ""parent"", ""_measurement"": ""Tracking_comp"", ""child"": ""3DOR100055"", ""parent"": ""ORBOX00118""}",Q3_MISSING_RECORD,gear_to_order,MEDIUM,2025-06-06T18:42:34.568116
301,"{""_start"": ""2024-10-07T13:58:14.815293004Z"", ""_stop"": ""2024-11-06T13:58:14.815293004Z"", ""_time"": ""2024-10-28T18:08:14.953Z"", ""_value"": ""ORBOX00117"", ""_field"": ""parent"", ""_measurement"": ""Tracking_comp"", ""child"": ""3DOR100057"", ""parent"": ""ORBOX00117""}",Q3_MISSING_RECORD,gear_to_order,MEDIUM,2025-06-06T18:42:34.568142
352,"{""_start"": ""2024-10-07T13:58:14.815293004Z"", ""_stop"": ""2024-11-06T13:58:14.815293004Z"", ""_time"": ""2024-10-28T19:24:30.624Z"", ""_value"": ""3DOR100069"", ""_field"": ""child"", ""_measurement"": ""Tracking_comp"", ""child"": ""3DOR100069"", ""parent"": ""ORBOX00120""}",Q3_MISSING_RECORD,gear_to_order,MEDIUM,2025-06-06T18:42:34.568166
261,"{""_start"": ""2024-10-07T13:58:14.815293004Z"", ""_stop"": ""2024-11-06T13:58:14.815293004Z"", ""_time"": ""2024-10-28T17:23:13.676Z"", ""_value"": ""ORBOX00119"", ""_field"": ""parent"", ""_measurement"": ""Tracking_comp"", ""child"": ""3DOR100048"", ""parent"": ""ORBOX00119""}",Q3_MISSING_RECORD,gear_to_order,MEDIUM,2025-06-06T18:42:34.568190
459,"{""_start"": ""2024-10-07T13:58:14.815293004Z"", ""_stop"": ""2024-11-06T13:58:14.815293004Z"", ""_time"": ""2024-10-28T21:30:36.477Z"", ""_value"": ""ORBOX0018"", ""_field"": ""parent"", ""_measurement"": ""Tracking_comp"", ""child"": ""3DOR100091"", ""parent"": ""ORBOX0018""}",Q3_MISSING_RECORD,gear_to_order,MEDIUM,2025-06-06T18:42:34.568213
410,"{""_start"": ""2024-10-07T13:58:14.815293004Z"", ""_stop"": ""2024-11-06T13:58:14.815293004Z"", ""_time"": ""2024-10-28T20:47:55.704Z"", ""_value"": ""ORBOX00111"", ""_field"": ""parent"", ""_measurement"": ""Tracking_comp"", ""child"": ""3DOR100081"", ""parent"": ""ORBOX00111""}",Q3_MISSING_RECORD,gear_to_order,MEDIUM,2025-06-06T18:42:34.568237
