row,removed_record,error_type,affected_relationships,impact_assessment,timestamp
408,"{""_start"": ""2024-10-07T13:58:14.815293004Z"", ""_stop"": ""2024-11-06T13:58:14.815293004Z"", ""_time"": ""2024-10-28T20:47:55.704Z"", ""_value"": ""3DOR100081"", ""_field"": ""child"", ""_measurement"": ""Tracking_comp"", ""child"": ""3DOR100081"", ""parent"": ""ORBOX00111""}",Q3_MISSING_RECORD,gear_to_order,MEDIUM,2025-06-07T11:08:31.585539
441,"{""_start"": ""2024-10-07T13:58:14.815293004Z"", ""_stop"": ""2024-11-06T13:58:14.815293004Z"", ""_time"": ""2024-10-28T20:48:54.414Z"", ""_value"": ""ORBOX00111"", ""_field"": ""parent"", ""_measurement"": ""Tracking_comp"", ""child"": ""3DOR100088"", ""parent"": ""ORBOX00111""}",Q3_MISSING_RECORD,gear_to_order,MEDIUM,2025-06-07T11:08:31.585581
107,"{""_start"": ""2024-10-07T13:58:14.815293004Z"", ""_stop"": ""2024-11-06T13:58:14.815293004Z"", ""_time"": ""2024-10-28T15:00:28.822Z"", ""_value"": ""ORBOX0013"", ""_field"": ""parent"", ""_measurement"": ""Tracking_comp"", ""child"": ""3DOR100011"", ""parent"": ""ORBOX0013""}",Q3_MISSING_RECORD,gear_to_order,MEDIUM,2025-06-07T11:08:31.585612
397,"{""_start"": ""2024-10-07T13:58:14.815293004Z"", ""_stop"": ""2024-11-06T13:58:14.815293004Z"", ""_time"": ""2024-10-28T20:06:53.456Z"", ""_value"": ""ORBOX00122"", ""_field"": ""parent"", ""_measurement"": ""Tracking_comp"", ""child"": ""3DOR100079"", ""parent"": ""ORBOX00122""}",Q3_MISSING_RECORD,gear_to_order,MEDIUM,2025-06-07T11:08:31.585641
218,"{""_start"": ""2024-10-07T13:58:14.815293004Z"", ""_stop"": ""2024-11-06T13:58:14.815293004Z"", ""_time"": ""2024-10-28T16:37:58.163Z"", ""_value"": ""3DOR100038"", ""_field"": ""child"", ""_measurement"": ""Tracking_comp"", ""child"": ""3DOR100038"", ""parent"": ""ORBOX0015""}",Q3_MISSING_RECORD,gear_to_order,MEDIUM,2025-06-07T11:08:31.585669
131,"{""_start"": ""2024-10-07T13:58:14.815293004Z"", ""_stop"": ""2024-11-06T13:58:14.815293004Z"", ""_time"": ""2024-10-28T15:00:31.227Z"", ""_value"": ""ORBOX0013"", ""_field"": ""parent"", ""_measurement"": ""Tracking_comp"", ""child"": ""3DOR100017"", ""parent"": ""ORBOX0013""}",Q3_MISSING_RECORD,gear_to_order,MEDIUM,2025-06-07T11:08:31.585697
272,"{""_start"": ""2024-10-07T13:58:14.815293004Z"", ""_stop"": ""2024-11-06T13:58:14.815293004Z"", ""_time"": ""2024-10-28T17:22:38.524Z"", ""_value"": ""3DOR100050"", ""_field"": ""child"", ""_measurement"": ""Tracking_comp"", ""child"": ""3DOR100050"", ""parent"": ""ORBOX0012""}",Q3_MISSING_RECORD,gear_to_order,MEDIUM,2025-06-07T11:08:31.585724
150,"{""_start"": ""2024-10-07T13:58:14.815293004Z"", ""_stop"": ""2024-11-06T13:58:14.815293004Z"", ""_time"": ""2024-10-28T15:53:13.682Z"", ""_value"": ""3DOR100021"", ""_field"": ""child"", ""_measurement"": ""Tracking_comp"", ""child"": ""3DOR100021"", ""parent"": ""ORBOX0017""}",Q3_MISSING_RECORD,gear_to_order,MEDIUM,2025-06-07T11:08:31.585752
151,"{""_start"": ""2024-10-07T13:58:14.815293004Z"", ""_stop"": ""2024-11-06T13:58:14.815293004Z"", ""_time"": ""2024-10-28T15:53:13.682Z"", ""_value"": ""ORBOX0017"", ""_field"": ""parent"", ""_measurement"": ""Tracking_comp"", ""child"": ""3DOR100021"", ""parent"": ""ORBOX0017""}",Q3_MISSING_RECORD,gear_to_order,MEDIUM,2025-06-07T11:08:31.585778
112,"{""_start"": ""2024-10-07T13:58:14.815293004Z"", ""_stop"": ""2024-11-06T13:58:14.815293004Z"", ""_time"": ""2024-10-28T15:01:12.801Z"", ""_value"": ""ORBOX0011"", ""_field"": ""parent"", ""_measurement"": ""Tracking_comp"", ""child"": ""3DOR100012"", ""parent"": ""ORBOX0011""}",Q3_MISSING_RECORD,gear_to_order,MEDIUM,2025-06-07T11:08:31.585805
215,"{""_start"": ""2024-10-07T13:58:14.815293004Z"", ""_stop"": ""2024-11-06T13:58:14.815293004Z"", ""_time"": ""2024-10-28T16:38:30.137Z"", ""_value"": ""ORBOX00115"", ""_field"": ""parent"", ""_measurement"": ""Tracking_comp"", ""child"": ""3DOR100037"", ""parent"": ""ORBOX00115""}",Q3_MISSING_RECORD,gear_to_order,MEDIUM,2025-06-07T11:08:31.585833
