_start,_stop,_time,_value,_field,_measurement,location,state
2024-10-07T13:55:51.1332528Z,2024-11-06T13:55:51.1332528Z,2024-10-28T13:00:38.257018Z,ABSM0002,id,tracking,Goods In,entered
2024-10-07T13:55:51.1332528Z,2024-11-06T13:55:51.1332528Z,2024-10-28T13:01:05.476953Z,ABSM0003,id,tracking,Goods In,entered
2024-10-07T13:55:51.1332528Z,2024-11-06T13:55:51.1332528Z,2024-10-28T13:01:28.927038Z,ABSM0004,id,tracking,Goods In,entered
2024-10-07T13:55:51.1332528Z,2024-11-06T13:55:51.1332528Z,2024-10-28T13:01:52.232019Z,ABSM0005,id,tracking,Goods In,entered
2024-10-07T13:55:51.1332528Z,2024-11-06T13:55:51.1332528Z,2024-10-28T13:02:18.762077Z,ABSM0006,id,tracking,Goods In,entered
2024-10-07T13:55:51.1332528Z,2024-11-06T13:55:51.1332528Z,2024-10-28T13:15:07.026954Z,ABSM0007,id,tracking,Goods In,entered
2024-10-07T13:55:51.1332528Z,2024-11-06T13:55:51.1332528Z,2024-10-28T13:15:47.644024Z,ABSM0008,id,tracking,Goods In,entered
2024-10-07T13:55:51.1332528Z,2024-11-06T13:55:51.1332528Z,2024-10-28T13:16:12.833998Z,ABSM0009,id,tracking,Goods In,entered
2024-10-07T13:55:51.1332528Z,2024-11-06T13:55:51.1332528Z,2024-10-28T13:16:44.635011Z,ABSM0010,id,tracking,Goods In,entered
2024-10-07T13:55:51.1332528Z,2024-11-06T13:55:51.1332528Z,2024-10-23T14:41:39.9853Z,t16,id,tracking,Goods Out Warehouse,entered
2024-10-07T13:55:51.1332528Z,2024-11-06T13:55:51.1332528Z,2024-10-28T14:20:03.800793Z,ORBOX0014,id,tracking,Goods Out Warehouse,entered
2024-10-07T13:55:51.1332528Z,2024-11-06T13:55:51.1332528Z,2024-10-28T14:20:05.438921Z,ORBOX00116,id,tracking,Goods Out Warehouse,entered
2024-10-07T13:55:51.1332528Z,2024-11-06T13:55:51.1332528Z,2024-10-28T15:03:07.672706Z,ORBOX0011,id,tracking,Goods Out Warehouse,entered
2024-10-07T13:55:51.1332528Z,2024-11-06T13:55:51.1332528Z,2024-10-28T15:03:08.860706Z,ORBOX0013,id,tracking,Goods Out Warehouse,entered
2024-10-07T13:55:51.1332528Z,2024-11-06T13:55:51.1332528Z,2024-10-28T15:55:20.353698Z,ORBOX0017,id,tracking,Goods Out Warehouse,entered
2024-10-07T13:55:51.1332528Z,2024-11-06T13:55:51.1332528Z,2024-10-28T15:55:21.380701Z,ORBOX0016,id,tracking,Goods Out Warehouse,entered
2024-10-07T13:55:51.1332528Z,2024-11-06T13:55:51.1332528Z,2024-10-28T16:40:15.27457Z,ORBOX0015,id,tracking,Goods Out Warehouse,entered
2024-10-07T13:55:51.1332528Z,2024-11-06T13:55:51.1332528Z,2024-10-28T16:40:16.33565Z,ORBOX00115,id,tracking,Goods Out Warehouse,entered
2024-10-07T13:55:51.1332528Z,2024-11-06T13:55:51.1332528Z,2024-10-28T17:24:51.187426Z,ORBOX00119,id,tracking,Goods Out Warehouse,entered
2024-10-07T13:55:51.1332528Z,2024-11-06T13:55:51.1332528Z,2024-10-28T17:24:52.340522Z,ORBOX0012,id,tracking,Goods Out Warehouse,entered
2024-10-07T13:55:51.1332528Z,2024-11-06T13:55:51.1332528Z,2024-10-28T18:10:09.611388Z,ORBOX00118,id,tracking,Goods Out Warehouse,entered
2024-10-07T13:55:51.1332528Z,2024-11-06T13:55:51.1332528Z,2024-10-28T18:10:10.414461Z,ORBOX00117,id,tracking,Goods Out Warehouse,entered
2024-10-07T13:55:51.1332528Z,2024-11-06T13:55:51.1332528Z,2024-10-28T19:26:42.831276Z,ORBOX00120,id,tracking,Goods Out Warehouse,entered
2024-10-07T13:55:51.1332528Z,2024-11-06T13:55:51.1332528Z,2024-10-28T19:26:44.051174Z,ORBOX00121,id,tracking,Goods Out Warehouse,entered
2024-10-07T13:55:51.1332528Z,2024-11-06T13:55:51.1332528Z,2024-10-28T20:08:36.371232Z,ORBOX00114,id,tracking,Goods Out Warehouse,entered
