row,table_column,original,corrupted,error_type,removed_char,position,timestamp
16,location_data._value,ORBOX0015,ORBOX015,Q2_CHAR_MISSING_ORDER_LEVEL,0,6,2025-06-09T19:18:32.610763
25,location_data._value,ORBOX00122,ORBOX0122,Q2_CHAR_MISSING_ORDER_LEVEL,0,6,2025-06-09T19:18:32.610796
60,location_data._value,3DOR100032,3DOR10003,Q2_CHAR_MISSING_ORDER_LEVEL,2,9,2025-06-09T19:18:32.610821
66,location_data._value,3DOR100038,3DO100038,Q2_CHAR_MISSING_ORDER_LEVEL,R,3,2025-06-09T19:18:32.610844
67,location_data._value,3DOR100039,3DOR00039,Q2_CHAR_MISSING_ORDER_LEVEL,1,4,2025-06-09T19:18:32.610865
68,location_data._value,3DOR100040,3DOR10004,Q2_CHAR_MISSING_ORDER_LEVEL,0,9,2025-06-09T19:18:32.610887
99,location_data._value,3DOR100071,3DR100071,Q2_CHAR_MISSING_ORDER_LEVEL,O,2,2025-06-09T19:18:32.610908
101,location_data._value,3DOR100073,3DO100073,Q2_CHAR_MISSING_ORDER_LEVEL,R,3,2025-06-09T19:18:32.610930
104,location_data._value,3DOR100076,3DOR10076,Q2_CHAR_MISSING_ORDER_LEVEL,0,7,2025-06-09T19:18:32.610951
107,location_data._value,3DOR100079,3DOR10007,Q2_CHAR_MISSING_ORDER_LEVEL,9,9,2025-06-09T19:18:32.610972
108,location_data._value,3DOR100080,3DOR10008,Q2_CHAR_MISSING_ORDER_LEVEL,0,9,2025-06-09T19:18:32.610994
167,location_data._value,3DOR100032,3DOR10003,Q2_CHAR_MISSING_ORDER_LEVEL,2,9,2025-06-09T19:18:32.611015
168,location_data._value,3DOR100040,3DOR10004,Q2_CHAR_MISSING_ORDER_LEVEL,0,9,2025-06-09T19:18:32.611036
169,location_data._value,3DOR100039,3DOR00039,Q2_CHAR_MISSING_ORDER_LEVEL,1,4,2025-06-09T19:18:32.611057
170,location_data._value,3DOR100038,3DO100038,Q2_CHAR_MISSING_ORDER_LEVEL,R,3,2025-06-09T19:18:32.611078
171,location_data._value,3DOR100031,3DR100031,Q2_CHAR_MISSING_ORDER_LEVEL,O,2,2025-06-09T19:18:32.611099
182,location_data._value,Printer_1,Printer1,Q2_CHAR_MISSING_ORDER_LEVEL,_,7,2025-06-09T19:18:32.611121
205,location_data._value,3DOR100076,3DOR10076,Q2_CHAR_MISSING_ORDER_LEVEL,0,7,2025-06-09T19:18:32.611142
206,location_data._value,3DOR100080,3DOR10008,Q2_CHAR_MISSING_ORDER_LEVEL,0,9,2025-06-09T19:18:32.611163
208,location_data._value,3DOR100079,3DOR10007,Q2_CHAR_MISSING_ORDER_LEVEL,9,9,2025-06-09T19:18:32.611185
211,location_data._value,3DOR100073,3DO100073,Q2_CHAR_MISSING_ORDER_LEVEL,R,3,2025-06-09T19:18:32.611205
212,location_data._value,3DOR100071,3DR100071,Q2_CHAR_MISSING_ORDER_LEVEL,O,2,2025-06-09T19:18:32.611226
223,location_data._value,Printer_8,Priter_8,Q2_CHAR_MISSING_ORDER_LEVEL,n,3,2025-06-09T19:18:32.611247
190,relationship_data.child,3DOR100031,3DR100031,Q2_CHAR_MISSING_ORDER_LEVEL,O,2,2025-06-09T19:18:32.611528
191,relationship_data.child,3DOR100031,3DR100031,Q2_CHAR_MISSING_ORDER_LEVEL,O,2,2025-06-09T19:18:32.611555
192,relationship_data.child,3DOR100031,3DR100031,Q2_CHAR_MISSING_ORDER_LEVEL,O,2,2025-06-09T19:18:32.611579
193,relationship_data.child,3DOR100031,3DR100031,Q2_CHAR_MISSING_ORDER_LEVEL,O,2,2025-06-09T19:18:32.611600
194,relationship_data.child,3DOR100032,3DOR10003,Q2_CHAR_MISSING_ORDER_LEVEL,2,9,2025-06-09T19:18:32.611622
195,relationship_data.child,3DOR100032,3DOR10003,Q2_CHAR_MISSING_ORDER_LEVEL,2,9,2025-06-09T19:18:32.611644
196,relationship_data.child,3DOR100032,3DOR10003,Q2_CHAR_MISSING_ORDER_LEVEL,2,9,2025-06-09T19:18:32.611666
197,relationship_data.child,3DOR100032,3DOR10003,Q2_CHAR_MISSING_ORDER_LEVEL,2,9,2025-06-09T19:18:32.611687
218,relationship_data.child,3DOR100038,3DO100038,Q2_CHAR_MISSING_ORDER_LEVEL,R,3,2025-06-09T19:18:32.611708
219,relationship_data.child,3DOR100038,3DO100038,Q2_CHAR_MISSING_ORDER_LEVEL,R,3,2025-06-09T19:18:32.611729
220,relationship_data.child,3DOR100038,3DO100038,Q2_CHAR_MISSING_ORDER_LEVEL,R,3,2025-06-09T19:18:32.611750
221,relationship_data.child,3DOR100038,3DO100038,Q2_CHAR_MISSING_ORDER_LEVEL,R,3,2025-06-09T19:18:32.611778
222,relationship_data.child,3DOR100039,3DOR00039,Q2_CHAR_MISSING_ORDER_LEVEL,1,4,2025-06-09T19:18:32.611799
223,relationship_data.child,3DOR100039,3DOR00039,Q2_CHAR_MISSING_ORDER_LEVEL,1,4,2025-06-09T19:18:32.611820
224,relationship_data.child,3DOR100039,3DOR00039,Q2_CHAR_MISSING_ORDER_LEVEL,1,4,2025-06-09T19:18:32.611841
225,relationship_data.child,3DOR100039,3DOR00039,Q2_CHAR_MISSING_ORDER_LEVEL,1,4,2025-06-09T19:18:32.611862
230,relationship_data.child,3DOR100040,3DOR10004,Q2_CHAR_MISSING_ORDER_LEVEL,0,9,2025-06-09T19:18:32.611884
231,relationship_data.child,3DOR100040,3DOR10004,Q2_CHAR_MISSING_ORDER_LEVEL,0,9,2025-06-09T19:18:32.611905
232,relationship_data.child,3DOR100040,3DOR10004,Q2_CHAR_MISSING_ORDER_LEVEL,0,9,2025-06-09T19:18:32.611926
233,relationship_data.child,3DOR100040,3DOR10004,Q2_CHAR_MISSING_ORDER_LEVEL,0,9,2025-06-09T19:18:32.611947
364,relationship_data.child,3DOR100071,3DR100071,Q2_CHAR_MISSING_ORDER_LEVEL,O,2,2025-06-09T19:18:32.611967
365,relationship_data.child,3DOR100071,3DR100071,Q2_CHAR_MISSING_ORDER_LEVEL,O,2,2025-06-09T19:18:32.611988
366,relationship_data.child,3DOR100071,3DR100071,Q2_CHAR_MISSING_ORDER_LEVEL,O,2,2025-06-09T19:18:32.612009
367,relationship_data.child,3DOR100071,3DR100071,Q2_CHAR_MISSING_ORDER_LEVEL,O,2,2025-06-09T19:18:32.612029
372,relationship_data.child,3DOR100073,3DO100073,Q2_CHAR_MISSING_ORDER_LEVEL,R,3,2025-06-09T19:18:32.612050
373,relationship_data.child,3DOR100073,3DO100073,Q2_CHAR_MISSING_ORDER_LEVEL,R,3,2025-06-09T19:18:32.612070
374,relationship_data.child,3DOR100073,3DO100073,Q2_CHAR_MISSING_ORDER_LEVEL,R,3,2025-06-09T19:18:32.612091
375,relationship_data.child,3DOR100073,3DO100073,Q2_CHAR_MISSING_ORDER_LEVEL,R,3,2025-06-09T19:18:32.612112
384,relationship_data.child,3DOR100076,3DOR10076,Q2_CHAR_MISSING_ORDER_LEVEL,0,7,2025-06-09T19:18:32.612133
385,relationship_data.child,3DOR100076,3DOR10076,Q2_CHAR_MISSING_ORDER_LEVEL,0,7,2025-06-09T19:18:32.612154
386,relationship_data.child,3DOR100076,3DOR10076,Q2_CHAR_MISSING_ORDER_LEVEL,0,7,2025-06-09T19:18:32.612175
387,relationship_data.child,3DOR100076,3DOR10076,Q2_CHAR_MISSING_ORDER_LEVEL,0,7,2025-06-09T19:18:32.612197
396,relationship_data.child,3DOR100079,3DOR10007,Q2_CHAR_MISSING_ORDER_LEVEL,9,9,2025-06-09T19:18:32.612218
397,relationship_data.child,3DOR100079,3DOR10007,Q2_CHAR_MISSING_ORDER_LEVEL,9,9,2025-06-09T19:18:32.612239
398,relationship_data.child,3DOR100079,3DOR10007,Q2_CHAR_MISSING_ORDER_LEVEL,9,9,2025-06-09T19:18:32.612260
399,relationship_data.child,3DOR100079,3DOR10007,Q2_CHAR_MISSING_ORDER_LEVEL,9,9,2025-06-09T19:18:32.612281
404,relationship_data.child,3DOR100080,3DOR10008,Q2_CHAR_MISSING_ORDER_LEVEL,0,9,2025-06-09T19:18:32.612303
405,relationship_data.child,3DOR100080,3DOR10008,Q2_CHAR_MISSING_ORDER_LEVEL,0,9,2025-06-09T19:18:32.612326
406,relationship_data.child,3DOR100080,3DOR10008,Q2_CHAR_MISSING_ORDER_LEVEL,0,9,2025-06-09T19:18:32.612347
