task_id,complexity,quality_condition,human_accuracy,llm_accuracy,human_time_sec,llm_time_sec,human_cost_usd,llm_cost_usd,participant_id,llm_model_count
P6_task_7,easy,Q3,0,0.8888888888888888,42,78.14777777777778,0.2916666666666667,0.0,P6,18
P7_task_7,easy,Q0,1,0.9444444444444444,55,45.43,0.3819444444444444,0.0,P7,18
P7_task_9,hard,Q2,1,0.8333333333333334,104,56.635,0.7222222222222222,0.0,P7,18
P5_task_7,hard,Q1,1,0.8333333333333334,70,56.153888888888886,0.4861111111111111,0.0,P5,18
P5_task_9,hard,Q0,0,0.7777777777777778,60,69.20944444444444,0.4166666666666667,0.0,P5,18
P9_task_1,hard,Q0,1,0.9444444444444444,103,47.39611111111111,0.7152777777777778,0.0,P9,18
P3_task_7,easy,Q1,0,0.8888888888888888,332,69.07388888888889,2.3055555555555554,0.0,P3,18
P2_task_8,hard,Q0,1,0.8333333333333334,87,62.03055555555555,0.6041666666666666,0.0,P2,18
P3_task_4,easy,Q0,0,1.0,270,30.55833333333333,1.875,0.0,P3,18
P4_task_4,easy,Q0,1,0.9444444444444444,199,47.04055555555556,1.3819444444444444,0.0,P4,18
P9_task_9,medium,Q1,1,0.6666666666666666,119,45.455,0.8263888888888888,0.0,P9,18
P8_task_9,hard,Q0,1,0.8333333333333334,81,33.05833333333333,0.5625,0.0,P8,18
P5_task_8,medium,Q0,1,0.9444444444444444,90,52.08166666666667,0.625,0.0,P5,18
P3_task_6,hard,Q0,1,0.8333333333333334,82,29.68777777777778,0.5694444444444444,0.0,P3,18
P8_task_6,hard,Q3,0,0.7222222222222222,271,37.74388888888889,1.8819444444444444,0.0,P8,18
P3_task_10,easy,Q0,0,1.0,142,31.953333333333333,0.986111111111111,0.0,P3,18
P3_task_8,hard,Q0,1,0.6666666666666666,88,32.498333333333335,0.6111111111111112,0.0,P3,18
P5_task_1,medium,Q0,1,0.8333333333333334,155,65.01166666666667,1.0763888888888888,0.0,P5,18
P2_task_10,easy,Q1,0,0.9444444444444444,262,57.153888888888886,1.8194444444444444,0.0,P2,18
P7_task_10,hard,Q3,1,0.7777777777777778,26,52.215555555555554,0.18055555555555555,0.0,P7,18
P1_task_8,easy,Q0,1,0.7777777777777778,161,43.736666666666665,1.1180555555555554,0.0,P1,18
P2_task_2,medium,Q2,0,0.7777777777777778,264,44.605,1.8333333333333333,0.0,P2,18
P7_task_1,easy,Q0,0,0.8888888888888888,165,67.34666666666666,1.1458333333333333,0.0,P7,18
P8_task_5,medium,Q2,0,0.5555555555555556,287,43.79888888888889,1.9930555555555556,0.0,P8,18
P2_task_7,medium,Q0,0,0.8888888888888888,244,48.04666666666667,1.6944444444444446,0.0,P2,18
P6_task_3,medium,Q1,1,0.8333333333333334,108,45.46666666666667,0.75,0.0,P6,18
P8_task_10,hard,Q1,1,0.7777777777777778,98,49.44833333333333,0.6805555555555555,0.0,P8,18
P1_task_10,hard,Q0,1,0.7222222222222222,182,65.90166666666667,1.2638888888888888,0.0,P1,18
P6_task_2,medium,Q3,1,0.5555555555555556,89,51.791111111111114,0.6180555555555556,0.0,P6,18
P9_task_7,easy,Q2,1,0.8888888888888888,97,48.505,0.6736111111111112,0.0,P9,18
P4_task_7,medium,Q3,1,0.6666666666666666,171,57.032777777777774,1.1875,0.0,P4,18
P1_task_2,medium,Q0,1,0.8888888888888888,193,53.39555555555555,1.3402777777777777,0.0,P1,18
P6_task_5,hard,Q1,0,0.8333333333333334,253,62.67333333333334,1.7569444444444442,0.0,P6,18
P6_task_1,medium,Q2,1,0.7777777777777778,197,43.36666666666667,1.3680555555555556,0.0,P6,18
P5_task_10,hard,Q0,1,0.7222222222222222,64,46.58611111111111,0.4444444444444444,0.0,P5,18
P2_task_1,hard,Q2,1,0.8888888888888888,88,40.93111111111111,0.6111111111111112,0.0,P2,18
P9_task_10,easy,Q2,1,0.05555555555555555,118,71.68944444444445,0.8194444444444445,0.0,P9,18
P1_task_1,easy,Q2,0,1.0,330,48.31388888888889,2.2916666666666665,0.0,P1,18
P4_task_5,easy,Q3,1,0.9444444444444444,184,61.86277777777778,1.277777777777778,0.0,P4,18
P4_task_8,medium,Q1,1,0.6666666666666666,50,77.10833333333333,0.3472222222222222,0.0,P4,18
P4_task_6,hard,Q0,1,0.7222222222222222,51,32.89277777777777,0.35416666666666663,0.0,P4,18
P2_task_6,easy,Q3,0,0.7777777777777778,277,53.88944444444444,1.923611111111111,0.0,P2,18
P2_task_3,hard,Q0,1,0.8888888888888888,115,31.86111111111111,0.798611111111111,0.0,P2,18
P4_task_9,hard,Q0,1,0.7222222222222222,35,60.00500000000001,0.24305555555555555,0.0,P4,18
P8_task_1,medium,Q0,0,0.8888888888888888,212,57.39944444444445,1.472222222222222,0.0,P8,18
P8_task_4,easy,Q3,0,1.0,164,41.166666666666664,1.1388888888888888,0.0,P8,18
P5_task_6,easy,Q3,0,0.9444444444444444,307,53.291111111111114,2.131944444444444,0.0,P5,18
P8_task_8,medium,Q0,0,0.9444444444444444,38,33.88,0.2638888888888889,0.0,P8,18
P6_task_4,hard,Q0,0,0.8333333333333334,325,43.632777777777775,2.256944444444444,0.0,P6,18
P7_task_5,medium,Q0,1,0.8888888888888888,313,48.13,2.173611111111111,0.0,P7,18
P1_task_3,easy,Q0,0,0.8888888888888888,92,65.08,0.638888888888889,0.0,P1,18
P9_task_5,medium,Q3,1,0.6666666666666666,47,42.324444444444445,0.3263888888888889,0.0,P9,18
P1_task_9,medium,Q0,1,1.0,206,46.42055555555556,1.4305555555555556,0.0,P1,18
P6_task_6,hard,Q0,0,0.7777777777777778,270,63.131666666666675,1.875,0.0,P6,18
P4_task_10,easy,Q0,1,0.9444444444444444,55,28.633888888888887,0.3819444444444444,0.0,P4,18
P5_task_2,easy,Q2,0,0.16666666666666666,139,76.60166666666667,0.9652777777777778,0.0,P5,18
P2_task_5,easy,Q0,0,1.0,323,43.32222222222222,2.2430555555555554,0.0,P2,18
P9_task_6,easy,Q3,1,1.0,305,46.41944444444445,2.118055555555556,0.0,P9,18
P7_task_6,easy,Q1,1,0.8888888888888888,216,65.43666666666667,1.5,0.0,P7,18
P1_task_7,hard,Q3,1,0.8333333333333334,324,37.40777777777778,2.25,0.0,P1,18
P9_task_8,hard,Q0,1,0.6666666666666666,149,46.18555555555556,1.0347222222222223,0.0,P9,18
P6_task_10,hard,Q0,1,0.8333333333333334,240,35.766666666666666,1.6666666666666667,0.0,P6,18
P7_task_4,medium,Q0,0,0.9444444444444444,306,49.58500000000001,2.125,0.0,P7,18
P3_task_5,hard,Q2,1,0.8333333333333334,97,49.19833333333334,0.6736111111111112,0.0,P3,18
P2_task_4,medium,Q0,0,0.8888888888888888,302,47.849444444444444,2.0972222222222223,0.0,P2,18
P3_task_3,medium,Q2,0,0.6111111111111112,163,66.11111111111111,1.1319444444444444,0.0,P3,18
P8_task_2,easy,Q0,0,0.8888888888888888,213,60.169444444444444,1.4791666666666667,0.0,P8,18
P3_task_9,medium,Q0,1,1.0,141,46.395,0.9791666666666667,0.0,P3,18
P5_task_4,easy,Q3,0,0.7777777777777778,85,60.57277777777777,0.5902777777777778,0.0,P5,18
P6_task_9,easy,Q0,1,0.8888888888888888,127,61.56055555555557,0.8819444444444444,0.0,P6,18
P3_task_1,hard,Q1,1,0.8333333333333334,274,59.71444444444444,1.902777777777778,0.0,P3,18
P1_task_4,medium,Q2,1,0.5555555555555556,84,83.07388888888889,0.5833333333333334,0.0,P1,18
P4_task_1,medium,Q0,1,0.9444444444444444,270,32.385000000000005,1.875,0.0,P4,18
P4_task_3,easy,Q2,1,0.05555555555555555,278,71.49944444444445,1.9305555555555556,0.0,P4,18
P9_task_2,hard,Q0,1,0.8888888888888888,73,45.32722222222222,0.5069444444444444,0.0,P9,18
P8_task_3,easy,Q2,0,0.05555555555555555,212,78.53,1.472222222222222,0.0,P8,18
P7_task_2,easy,Q2,0,0.9444444444444444,88,55.886111111111106,0.6111111111111112,0.0,P7,18
P6_task_8,easy,Q0,1,1.0,119,28.39388888888889,0.8263888888888888,0.0,P6,18
